"Cell.ID","Species.Richness","EN.CR.Richness","SES.Mean","SES.SD","PD.Org.Mean","PD.Org.SD","PD.NoEN.Mean","PD.NoEN.SD","PD.Rnd.Mean","PD.Rnd.SD"
"Cell.ID.13117",20,4,0.234432733468057,0.415100168721741,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.76640200165,10.9130099189612
"Cell.ID.13118",20,4,0.206299572421802,0.417171111286681,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.44929118449,10.9456678379808
"Cell.ID.13119",20,4,0.209902076502427,0.410755801043843,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.51880818775,11.1203774888147
"Cell.ID.13120",20,4,0.267676988871901,0.430571472992187,240.7103694,14.4212471580204,207.37910561,13.6779501078395,210.0211444529,10.7891395229909
"Cell.ID.13121",20,4,0.206173758006629,0.404439984105684,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.50823274755,11.1543154589309
"Cell.ID.13122",20,4,0.222935328816747,0.426678474935581,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.60910621641,10.8241047185876
"Cell.ID.13123",20,4,0.184245619199401,0.421531803067823,240.7103694,14.4212471580204,207.37910561,13.6779501078395,209.24678482273,10.936407037377
"Cell.ID.13124",20,4,0.146690818465652,0.396105702880871,240.7103694,14.4212471580204,207.37910561,13.6779501078395,208.94026898621,11.4473428643959
"Cell.ID.13125",22,4,0.0292889735221979,0.216672802191194,380.0837712,14.3867589000707,346.75250741,13.6589644848493,347.29776618796,19.8830347990061
"Cell.ID.13126",23,4,0.055771654364926,0.194164746695984,384.17200941,15.8237447365563,350.84074562,15.2080723379059,352.12202912968,23.0374397208198
"Cell.ID.13127",23,4,0.083940914303814,0.215338668011137,384.17200941,15.8237447365563,350.84074562,15.2080723379059,352.61723904005,21.3093821238916
"Cell.ID.13128",24,4,0.185360074513154,0.23754138940034,387.38018819,16.1681857998589,354.0489244,15.5473832624911,357.45705479928,18.6635669188168
"Cell.ID.13129",25,4,0.102149065624032,0.219361021081639,400.47018819,16.1681857998589,367.1389244,15.5473832624911,369.14831037755,19.937901518873
"Cell.ID.13130",26,4,0.195208886639939,0.244772793734281,404.38997416,17.7930274334179,371.05871037,17.2405126457967,374.63929513486,18.3372056183353
"Cell.ID.13131",26,4,0.120405972959539,0.218329604876577,404.38997416,17.7930274334179,371.05871037,17.2405126457967,373.55559724407,20.7022136744537
"Cell.ID.13132",26,4,0.127300956034322,0.216328401020346,404.38997416,17.7930274334179,371.05871037,17.2405126457967,373.62638864524,20.1685142208648
"Cell.ID.13133",25,4,0.100232996917712,0.211949103809245,400.47018819,16.1681857998589,367.1389244,15.5473832624911,369.17583614019,20.6659567233343
"Cell.ID.13134",25,3,-0.351805364235045,0.268537072265094,386.61997416,17.7930274334179,371.05871037,17.2405126457967,365.60419507012,15.4267486733282
"Cell.ID.13135",25,3,-0.348420910522411,0.269891965052656,386.61997416,17.7930274334179,371.05871037,17.2405126457967,365.76747510656,15.0815776553595
"Cell.ID.13136",25,3,-0.361344496830117,0.292087165192714,386.61997416,17.7930274334179,371.05871037,17.2405126457967,365.86232842311,14.2954281329862
"Cell.ID.13137",25,3,-0.344649975109026,0.270551245353098,386.61997416,17.7930274334179,371.05871037,17.2405126457967,365.70685414969,15.4734022140803
"Cell.ID.13138",24,3,-0.401518773530857,0.246375449568244,384.72076249,17.6849519480503,369.1594987,17.1254537770568,362.38487540014,16.8079949040508
"Cell.ID.13139",23,3,-0.416702188036197,0.229956109884633,380.80097652,16.045248640862,365.23971273,15.4156118536003,357.65333016151,18.1645586605566
"Cell.ID.13140",21,3,-0.494512515634131,0.214728610740034,368.16437515,12.4445677586449,352.60311136,11.5154037894172,343.68267785973,17.9855333940331
"Cell.ID.13141",22,3,-0.417777733770006,0.219981238080795,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.8482134489,18.2433468217155
"Cell.ID.13142",22,3,-0.431820894802577,0.224014267585261,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.7699825016,17.8381027242676
"Cell.ID.13143",22,3,-0.497020692825653,0.278555051650679,370.06358682,12.6170529103297,354.50232303,11.7067113765622,347.57752438433,13.8339082880203
"Cell.ID.13144",22,3,-0.48051693298724,0.238277655637572,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.67301677467,16.1983433836423
"Cell.ID.13145",22,3,-0.429099753786743,0.217719047014064,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.69349722039,18.0782167300482
"Cell.ID.13146",22,3,-0.467847941015661,0.274345448668085,370.06358682,12.6170529103297,354.50232303,11.7067113765622,347.71947735078,14.3444253537169
"Cell.ID.13147",22,3,-0.424347384319515,0.205293463205856,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.35391743126,19.118882847261
"Cell.ID.13148",22,3,-0.447915349938034,0.217508509407895,370.06358682,12.6170529103297,354.50232303,11.7067113765622,346.62673337651,17.4861913153204
"Cell.ID.13149",22,3,-0.470117617046608,0.259498192353963,370.06358682,12.6170529103297,354.50232303,11.7067113765622,347.47427331097,14.8231673150455
"Cell.ID.13150",22,3,-0.417769866030017,0.216464984091036,370.06358682,12.6170529103297,354.50232303,11.7067113765622,347.04263139051,17.7427502509298
"Cell.ID.13298",22,4,-0.330871590276779,0.385057888729649,407.67795428,11.0798442741734,374.34669049,10.0653295477987,370.69755864438,10.2492787454637
"Cell.ID.13299",22,4,-0.249356984636486,0.364683546009378,407.67795428,11.0798442741734,374.34669049,10.0653295477987,371.56603571111,10.3242038098433
"Cell.ID.13300",22,4,-0.29270605410603,0.367091254148068,407.67795428,11.0798442741734,374.34669049,10.0653295477987,371.00951763454,10.5855496283973
"Cell.ID.13301",22,4,-0.282633488771144,0.3862365443209,407.67795428,11.0798442741734,374.34669049,10.0653295477987,371.1961269736,10.2255760653072
"Cell.ID.13302",23,4,-1.27036630483908,0.409816088149358,413.99938376,11.5347107632768,392.11669049,10.0653295477987,379.44554916297,9.8494008414359
"Cell.ID.13303",23,4,-1.24325528817758,0.419334627896761,413.99938376,11.5347107632768,392.11669049,10.0653295477987,379.73556663252,9.82559137539001
"Cell.ID.13304",22,4,-0.309397535232084,0.393115169859393,407.67795428,11.0798442741734,374.34669049,10.0653295477987,370.99221881764,10.101724014677
"Cell.ID.13305",21,4,-0.262044098940834,0.382764334340904,397.64795428,11.0798442741734,364.31669049,10.0653295477987,361.36650341032,10.3692638653551
"Cell.ID.13306",20,4,-0.43875527665028,0.355233734803434,392.21390865,10.8928484824539,358.88264486,9.89818554426213,353.95178220079,10.6965655646017
"Cell.ID.13307",20,4,-0.455948315380794,0.361520938310544,392.21390865,10.8928484824539,358.88264486,9.89818554426213,353.84706050279,10.5761239084172
"Cell.ID.13308",20,4,-0.48853474093426,0.371115136338537,392.21390865,10.8928484824539,358.88264486,9.89818554426213,353.45044397161,10.644238225869
"Cell.ID.13309",19,4,-0.532975214868805,0.361116859094314,383.76922022,10.4240086570545,350.43795643,9.39541147626567,344.4924135156,10.6930837018876
"Cell.ID.13310",19,4,-0.499411793429945,0.326081776140562,383.76922022,10.4240086570545,350.43795643,9.39541147626567,344.6310056658,11.1898954141864
"Cell.ID.13311",19,4,-0.577986075341856,0.354792128719483,383.76922022,10.4240086570545,350.43795643,9.39541147626567,343.81508396001,11.0702446273117
"Cell.ID.13312",19,4,-0.529895850469596,0.335468698482017,383.76922022,10.4240086570545,350.43795643,9.39541147626567,344.2928020893,11.1947802468953
"Cell.ID.13313",18,4,-0.570997711811588,0.340436615633646,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.1722226501,11.1892271646305
"Cell.ID.13314",18,4,-0.563939138035637,0.352283564052184,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.35325541929,10.9891808888857
"Cell.ID.13315",18,4,-0.51182866639499,0.335075726325121,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.81233584308,11.190109425254
"Cell.ID.13316",18,4,-0.514719066224513,0.340698446687358,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.76560862763,11.2092046677727
"Cell.ID.13317",18,4,-0.550895912593882,0.334015748579523,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.13795030584,11.603017649484
"Cell.ID.13318",18,4,-0.496623728203165,0.321051894798667,374.11939971,10.0940228898442,340.78813592,9.05517264425966,334.92034832323,11.3426723341601
"Cell.ID.13319",18,4,-0.483745952099453,0.352602362371866,374.11939971,10.0940228898442,340.78813592,9.05517264425966,335.13491121606,11.1030575331527
"Cell.ID.13320",17,4,-0.880613421245126,0.346206086032634,372.11214218,9.97873080772321,338.78087839,8.93502684185686,329.3128197481,10.4832767904919
"Cell.ID.13321",20,4,-0.254920179781829,0.384314963036833,389.20326585,10.6180716657992,355.87200206,9.57001708383845,353.0433124446,10.2067780417483
"Cell.ID.13322",20,4,-0.280012286826837,0.365225047977249,389.20326585,10.6180716657992,355.87200206,9.57001708383845,352.49559272485,11.092371930313
"Cell.ID.13323",20,4,-0.321466401614732,0.341479739247354,389.20326585,10.6180716657992,355.87200206,9.57001708383845,351.9879692862,11.3159811194296
"Cell.ID.13324",20,4,-0.298260989259433,0.369321557918816,389.20326585,10.6180716657992,355.87200206,9.57001708383845,352.40839813796,10.7806480642394
"Cell.ID.13325",20,4,-0.305814861546575,0.367135146356492,389.20326585,10.6180716657992,355.87200206,9.57001708383845,352.35235255965,10.6926618542463
"Cell.ID.13326",20,4,-0.272634923868846,0.363046111645565,389.20326585,10.6180716657992,355.87200206,9.57001708383845,352.71229926881,10.781425334724
"Cell.ID.13327",20,4,-0.342220594697993,0.343925277213006,389.20326585,10.6180716657992,355.87200206,9.57001708383845,351.8433315425,11.0820800917247
"Cell.ID.13328",21,4,-0.444793809472646,0.347934731942474,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.09026029043,10.9035506721365
"Cell.ID.13329",21,4,-0.424032992636392,0.356220550511271,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.33201255384,10.8883066138233
"Cell.ID.13330",21,4,-0.407184432416556,0.345501512935953,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.55597401239,10.8822875141302
"Cell.ID.13331",21,4,-0.388800365324042,0.356959655963112,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.70925345273,10.8869247774211
"Cell.ID.13332",23,4,-0.499874902359355,0.35653754557246,429.22326585,10.6180716657992,395.89200206,9.57001708383845,390.54553863983,10.3159579910009
"Cell.ID.13333",23,4,-0.509339266098933,0.3477877295969,429.22326585,10.6180716657992,395.89200206,9.57001708383845,390.26556564976,10.6573399994975
"Cell.ID.13334",23,4,-0.429347158127156,0.365833947281679,429.22326585,10.6180716657992,395.89200206,9.57001708383845,391.22251176463,10.4002819606689
"Cell.ID.13335",23,4,-0.449887110953587,0.354067269942154,429.22326585,10.6180716657992,395.89200206,9.57001708383845,390.93170687018,10.5841943843155
"Cell.ID.13336",23,4,-0.473794180082465,0.355907224446765,429.22326585,10.6180716657992,395.89200206,9.57001708383845,390.75010255787,10.4096731070895
"Cell.ID.13337",21,4,-0.385882543651282,0.354577588268008,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.72543512911,10.9553270512745
"Cell.ID.13338",21,4,-0.372579360640915,0.353972011128293,404.50326585,10.6180716657992,371.17200206,9.57001708383845,366.88442956815,10.8784273240015
"Cell.ID.13339",19,4,-0.929092323468969,0.346363334980079,397.06196269,10.316177858267,363.7306989,9.28386280297403,353.98974978271,10.2754123681171
"Cell.ID.13340",17,3,-1.85415055161928,0.300977553146854,372.31812504,10.2639753622073,356.75686125,9.20622236673264,339.28017153971,9.34502272646304
"Cell.ID.13341",17,3,-1.84739237362573,0.300837662144762,372.31812504,10.2639753622073,356.75686125,9.20622236673264,339.62064937775,9.18870460119177
"Cell.ID.13342",17,3,-1.90178429371308,0.310456172778465,372.31812504,10.2639753622073,356.75686125,9.20622236673264,339.24448951691,9.13354499385381
"Cell.ID.13343",16,3,-1.62575146743948,0.281373729346422,357.01812504,10.2639753622073,341.45686125,9.20622236673263,324.09901496813,10.589185347085
"Cell.ID.13344",16,3,-1.35665486691539,0.247427555000154,357.01812504,10.2639753622073,341.45686125,9.20622236673263,322.88623177146,13.6124138350958
"Cell.ID.13345",16,3,-1.64086295780928,0.280963028468355,357.01812504,10.2639753622073,341.45686125,9.20622236673263,323.95008787822,10.5821227141212
"Cell.ID.13346",15,3,-0.919994800651648,0.151784340400103,348.91812504,10.2639753622073,333.35686125,9.20622236673264,309.46948068039,25.9452470101548
"Cell.ID.13347",15,3,-0.986930015007055,0.162156730225194,348.91812504,10.2639753622073,333.35686125,9.20622236673264,309.50541601457,24.1394869473206
"Cell.ID.13348",15,3,-1.0266121320894,0.174463950209349,348.91812504,10.2639753622073,333.35686125,9.20622236673264,310.45474783589,22.2839216381521
"Cell.ID.13349",15,3,-0.967248849099567,0.158282230698411,348.91812504,10.2639753622073,333.35686125,9.20622236673264,310.14539589301,23.9742751702272
"Cell.ID.13350",15,3,-0.985222078460947,0.164876255198656,348.91812504,10.2639753622073,333.35686125,9.20622236673264,309.47590852081,24.2168543820443
